filename,prompt,seed
soil_dry_light,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. A small patch of garden soil (dry, light‑colored soil, lightly cracked), slight top‑down angle.",
soil_dry_medium,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. A small patch of garden soil (dry, medium‑dark soil, visible cracks), slight top‑down angle.",
soil_moist,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. A small patch of garden soil (moist rich soil, darker tone with subtle sheen), slight top‑down angle.",
soil_wet,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. A small patch of garden soil (wet soil, dark clumps and slight reflections), slight top‑down angle.",
soil_saturated_puddle,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. A small patch of garden soil (saturated soil with a small reflective puddle), slight top‑down angle.",
seed_whole,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Single tea seed resting on soil, intact, spherical.",
seed_half_buried,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Tea seed half embedded in soil, subtle shadow.",
sprout_single_leaf,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Delicate tea sprout with one tiny leaf emerging from soil.",
sprout_double_leaf,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Tea sprout with two opposite leaves emerging from soil.",
stem_straight_age1,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Tea plant stem segment ""straight"", age level 1, slender.",
stem_straight_age2,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Tea plant stem segment ""straight"", age level 2, slender.",
stem_straight_age3,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Tea plant stem segment ""straight"", age level 3, slender.",
stem_straight_age4,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Tea plant stem segment ""straight"", age level 4, slender.",
stem_branch_left_age1,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Tea plant stem segment ""branch left"", age level 1, slender.",
stem_branch_left_age2,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Tea plant stem segment ""branch left"", age level 2, slender.",
stem_branch_left_age3,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Tea plant stem segment ""branch left"", age level 3, slender.",
stem_branch_left_age4,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Tea plant stem segment ""branch left"", age level 4, slender.",
stem_branch_right_age1,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Tea plant stem segment ""branch right"", age level 1, slender.",
stem_branch_right_age2,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Tea plant stem segment ""branch right"", age level 2, slender.",
stem_branch_right_age3,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Tea plant stem segment ""branch right"", age level 3, slender.",
stem_branch_right_age4,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Tea plant stem segment ""branch right"", age level 4, slender.",
leaf_small_plain,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Single small tea leaf, healthy, front view.",
leaf_small_bitten,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Small tea leaf with a tiny bite taken out of the edge.",
leaf_medium,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Medium‑size tea leaf, healthy, gentle curve.",
